,P115-0-5-7-D-AMFungi,GW-P115-7-F-AMFungi,P115-5-15-22-D-AMFungi,P115-22-F-AMFungi,P122-0-5-10-D-AMFungi,P122-10-F-AMFungi,P122-25-D-ITS2-AMFungi,P122-25-F-ITS2-AMFungi,P133-0-5-15-D-AMFungi,P133-15-F-AMFungi,P133-5-15-30-D-AMFungi,P133-30-F-AMFungi,P117-5-15-51-D-ITS2,DW-17-5-15-51-F-ITS2,P138-5-15-60-D-ITS2,DW-38-5-15-60-F-ITS2,P138-0-5-45-D-ITS2,LDW-38-0-5--45-F-ITS2,P141-0-5-95-D-ITS2,LDW-41-0-5-95-F-AMFungi,AM2-UF-0-5-D-AMFungi,AM2-UF-0-5-F-AMFungi,AM2-UF-5-15-D-AMFungi,AM2-UF-5-15-F-AMFungi,AM3-UF-0-5-D-AMFungi,AM3-UF-0-5-F-AMFungi,AM3-UF-5-15-D-AMFungi,AM3-UF-5-15-F-AMFungi,ECM2-UF-5-15-D-AMFungi,ECM2-5-15-F-AMFungi,ECM2-UF-0-5-D-AMFungi,ECM2-UF-0-5-F-AMFungi,MV6-Ref-0-5-D-AMFungi,MV6-Ref-0-5-F-AMFungi,MV6-Ref-5-15-D-AMFungi,MV6-Ref-5-15-F-AMFungi,MV9-Ref-0-5-D-AMFungi,MV9-Ref-0-5-F-AMFungi,MV9-Ref-5-15-D-AMFungi,MV9-Ref-5-15-F-AMFungi,123-0-5-67-D-AMFungi,23-0-5-67-F-AMFungi,P123-5-15-D-ITS2,23-5-15-82-F-AMFungi,P24-0-5-68-D-AMFungi,P24-0-5-68-F-AMFungi,P102-0-5-73-D-AMFungi,102-0-5-73-F-AMFungi,P102-5-15-D-AMFungi,P102-5-15-F-AMFungi,P102-0-5-D-AMFungi,P102-0-5-F-AMFungi,P18-0-5-D-AMFungi,P18-0-5-F-AMFungi,P18-5-15-D-AMFungi,P18-5-15-F-AMFungi,P19-5-15-D-AMFungi,P19-5-15-F-AMFungi,P4-0-5-D-AMFungi,P4-0-5-F-AMFungi,P4-5-15-D-AMFungi,P4-5-15-F-AMFungi,P55-0-5-D-AMFungi,P55-0-5-F-AMFungi,P55-5-15-D-AMFungi,P55-5-15-F-AMFungi,P6-0-5-D-AMFungi,P6-0-5-F-AMFungi,P6-5-15-D-AMFungi,P6-5-15-F-AMFungi
ASV444,0,0,0,0,0,0.02074928,0,0,0,0,0,0.004074242,0,0,0,0.009715994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012376238,0,0.003746195,0,0.004126547,0,0,0,0,0.011579818,0,0.003121342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002847755,0.002512563,0.013263081,0.002263648,0,0,0.008055854,0,0,0,0,0.007425743
ASV445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103886398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105360444,0,0,0,0,0.063444109,0,0.012995452,0.045392022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023469711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018196857,0,0.011705033,0,0.032437746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV451,0,0,0,0,0,0,0,0,0.142508143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024890942,0,0,0,0,0,0
ASV463,0,0,0,0,0,0.050720461,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018675722,0.002247191,0,0.001347255,0,0.001862197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004135649,0,0.003316426,0,0,0,0,0,0,0,0,0.003684211,0.000590319,0.003842987,0.003234343,0.016371384,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.030906111,0,0,0,0.051089109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV473,0,0,0,0,0,0,0,0,0,0,0,0.062019013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038923869,0,0.012889366,0.013822435,0,0,0,0
ASV474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023986766,0,0,0,0.030144168,0,0,0,0,0,0,0.018947368,0,0,0.003528374,0,0,0,0,0,0,0,0,0,0,0.060416667,0,0,0.005363036
ASV479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021104904,0.041651171,0,0.017241379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011685393,0.012387387,0,0,0.032278088,0.008925251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002948886,0,0,0,0,0,0,0.002105263,0,0,0.007350779,0.021978022,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV482,0,0,0,0,0,0,0,0,0,0,0,0,0.005483959,0,0,0,0,0,0,0,0,0,0,0,0.011793917,0.015619189,0,0,0,0,0,0,0,0,0,0,0.060522696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006842105,0,0.02278342,0.008232873,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003031324,0.019700214,0,0,0,0,0,0,0,0,0,0,0,0.012995452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV488,0,0.007797271,0,0,0,0.002881844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024829299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037661051,0.011417697,0,0,0,0,0,0,0,0,0,0,0.016027476,0.011034129,0,0,0,0,0,0
ASV494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023996412,0.0486565,0,0,0,0,0,0,0,0,0,0,0,0
ASV500,0,0,0,0,0,0,0,0.014559286,0,0,0,0,0,0,0,0,0,0,0,0.009054895,0,0,0,0,0,0,0,0.002155172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031686359,0.011695906,0,0,0,0
ASV502,0,0,0,0.000841751,0,0.002305476,0,0.000262329,0,0,0,0,0.000822594,0,0,0.000373692,0,0,0,0,0,0,0,0,0.001241465,0.001115656,0,0,0.012939002,0.002009041,0,0,0,0,0.003043784,0,0,0.003481894,0,0,0,0,0,0,0,0.008846658,0,0,0.003560606,0.002213089,0.003964321,0.003171583,0,0,0,0,0,0,0.000876232,0.004396985,0,0,0.00114482,0.001539646,0.005370569,0.001594896,0.0125,0.005571031,0.007389163,0.002475248
ASV505,0,0,0,0,0,0,0,0,0,0.039795918,0,0,0,0,0,0,0,0,0,0,0.008089888,0.011261261,0,0.005995717,0,0,0.008349705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006937562,0,0,0.064344746,0,0,0.002242655,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV511,0,0,0,0,0,0,0,0.006295908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004318182,0,0,0.010149064,0,0,0,0,0,0,0,0,0.009084302,0,0,0,0,0,0,0,0,0
ASV512,0,0,0,0,0,0,0,0,0,0,0,0,0.040307102,0,0,0,0,0,0,0,0,0,0,0,0,0.030494608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075785582,0,0.25,0,0,0,0,0,0,0.014623955,0,0,0,0,0,0,0,0,0,0,0,0,0.03617443,0.027909927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV515,0,0,0,0,0,0,0,0.02820042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005052206,0,0,0,0.007858546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028741328,0.013320647,0,0,0,0,0,0,0,0,0,0,0.012593017,0.012830382,0,0,0,0,0,0
ASV531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007923033,0.00494382,0,0,0.009850107,0.00248293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024813896,0,0.015801795,0,0,0,0,0,0,0,0,0,0,0,0.004116436,0.003363983,0.009440813,0,0,0,0,0,0,0,0,0,0,0,0
ASV532,0,0,0,0,0,0,0,0,0,0.01122449,0,0,0,0,0,0,0,0,0,0,0,0.005630631,0.011451667,0,0.006828057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036315789,0,0,0,0,0.004357298,0,0,0.002180233,0,0.004006869,0.014626636,0,0,0,0,0,0
ASV535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004494382,0.006756757,0,0.00385439,0.008690255,0.00409074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001646994,0,0.02309935,0.019970951,0,0,0,0,0,0,0,0,0,0,0,0
ASV536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032076797,0.050032489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013932584,0.047297297,0,0.015845824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.047225502,0,0,0.004709576,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013483146,0,0.003031324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010752688,0,0,0,0,0,0,0,0,0,0,0.027894737,0,0.02580291,0,0.001345593,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV554,0,0,0,0,0,0,0,0,0,0,0,0.001810774,0,0,0,0,0,0,0,0.001697793,0.005393258,0,0.005052206,0.005567452,0.00496586,0.001115656,0.006876228,0.001657825,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004962779,0,0.000975419,0,0.002621232,0,0,0,0,0,0,0.001578947,0,0.004940983,0.003234343,0.006727966,0.002178649,0.000657174,0.005025126,0.000363372,0.000665779,0.00114482,0.001026431,0.002148228,0,0,0,0,0
ASV562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004391985,0,0,0,0,0,0,0,0.006296508,0.038234539,0,0.01010101,0,0,0,0
ASV568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023214982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025778733,0.012759171,0,0,0,0
ASV577,0,0,0,0,0.055757576,0.01037464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010157274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017805233,0.01171771,0,0,0,0,0,0,0,0
ASV581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011134904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031018338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV582,0,0,0,0,0,0,0,0,0,0.187755102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010784678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012406948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003267974,0.004271632,0,0,0.003062583,0,0,0,0,0.060416667,0,0,0
ASV591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01965924,0,0,0,0,0,0,0,0,0,0,0.001345593,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022629731,0,0,0,0,0,0,0,0,0,0,0.008234971,0.009408997,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15648855,0,0.019775281,0,0,0,0,0,0.007858546,0.000994695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007368421,0.006493506,0,0.003234343,0.001121328,0,0,0,0,0,0,0.007698229,0,0,0,0,0,0
ASV596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105076741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028348806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009158558,0.015909674,0,0.049441786,0,0,0,0
ASV621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023575639,0.017241379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003363983,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV625,0,0.003898635,0,0.000841751,0,0,0,0.000262329,0,0,0,0,0.000274198,0,0,0.000373692,0,0.01897019,0,0,0,0,0,0,0.000620732,0.000371885,0,0,0.001848429,0.004018081,0.05,0.007692308,0.004950495,0,0.001404823,0.000649773,0.002751032,0.005571031,0,0.016845329,0,0,0,0,0,0.002293578,0,0,0.0025,0.002213089,0.004459861,0.003171583,0,0,0,0,0,0,0.000438116,0.001256281,0,0,0,0.000513215,0.002148228,0.001594896,0.00625,0.001392758,0.001231527,0.000825083
ASV626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008757157,0,0,0,0.016699411,0,0,0,0,0,0,0,0,0,0.063273728,0,0,0,0,0,0,0,0,0.010157274,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016959799,0,0,0,0,0,0,0,0,0,0
ASV629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013691128,0,0,0.005193076,0,0,0,0,0,0,0,0
ASV634,0,0,0,0.003367003,0,0,0,0.000655824,0,0,0,0.000905387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00351151,0,0.000327654,0,0,0.000227273,0.000632311,0,0,0,0,0,0,0.001345593,0.001452433,0,0,0.001090116,0.000665779,0,0,0,0,0,0,0.004926108,0.001650165
ASV647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002997859,0,0,0,0.00265252,0,0,0,0,0,0,0,0.008447044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV670,0,0,0,0,0.090909091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV674,0,0,0,0,0,0.037463977,0,0.010886674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV675,0,0,0,0.003367003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003961517,0,0,0,0.002569593,0.003103662,0,0.002946955,0.002155172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000780336,0,0,0,0,0.003484848,0.0028454,0.00099108,0,0,0,0,0.002940312,0,0,0,0,0,0,0,0,0.004296455,0.001594896,0,0,0,0
ASV678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019325843,0.010135135,0.006399461,0.002141328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01255887,0.005083515,0,0,0,0,0,0,0,0,0,0,0,0
ASV681,0,0,0,0,0,0,0,0,0.103420195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002984085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.048501179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033247483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.059405941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015625,0.00412783,0,0,0,0,0,0,0,0
ASV694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025780683,0,0,0,0,0.008586148,0.007954837,0.012889366,0,0,0,0,0
ASV697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004144562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014548449,0,0,0.022512709,0,0,0,0,0,0,0,0,0,0,0,0
ASV706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.043629466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV708,0,0,0,0,0,0,0,0.000786988,0,0,0,0,0.00274198,0,0,0.00186846,0,0,0,0,0,0,0.001684069,0,0,0,0,0.000994695,0,0,0,0,0,0,0.00163896,0,0,0.002089136,0,0,0,0,0,0.001365587,0,0,0,0,0.004166667,0.003477711,0.002973241,0,0,0,0,0,0,0,0,0,0.001090116,0,0,0,0,0,0,0,0.003694581,0.002887789
ASV709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01752809,0.003378378,0.006399461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031052632,0.010035419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV716,0,0,0,0,0,0,0,0.00249213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008786472,0,0,0,0,0,0,0.007492391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001464714,0,0,0,0,0,0,0,0
ASV719,0,0,0,0,0,0,0,0.001311647,0,0,0,0,0.000274198,0,0,0.004110613,0,0.005420054,0,0,0,0,0.001347255,0,0,0,0,0.000165782,0,0,0,0,0,0.002265861,0.000468274,0.001949318,0,0.002785515,0,0,0,0,0,0.000780336,0,0,0,0,0.003939394,0.002213089,0.00148662,0,0,0,0,0,0,0,0,0,0.001271802,0,0,0,0,0,0,0,0,0.002062706
ASV722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.043960396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.248091603,0.003395586,0,0,0,0.00856531,0.006207325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006952231,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.030534351,0,0.01258427,0,0,0.009850107,0,0,0.00589391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029732408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.047458894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV751,0,0,0,0,0,0,0,0,0.005700326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010526316,0.002951594,0.001921493,0.006762717,0.001345593,0,0,0.006281407,0,0,0,0.012573775,0,0,0,0,0,0
ASV758,0,0,0,0.001683502,0,0,0,0.000918153,0,0,0,0.000905387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003316426,0,0,0,0,0.000530303,0,0,0,0,0,0,0,0.000448531,0,0,0,0,0.000532623,0,0,0,0,0,0,0,0
ASV762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013135736,0.005567452,0.001241465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014210526,0,0.001372495,0.004704499,0,0.006535948,0,0,0,0,0,0.000769823,0,0,0,0,0,0
ASV765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006062647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014736842,0,0,0,0.003588248,0,0.000985761,0.011934673,0,0,0,0.008211445,0,0,0,0,0,0
ASV772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00862069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007350779,0.009867683,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039643211,0.01268633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009620826,0,0,0,0,0.003724395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009473684,0,0.006862476,0.006762717,0.002691186,0.006535948,0,0,0,0,0,0,0,0,0,0,0,0
ASV782,0,0,0,0,0,0,0,0,0,0,0,0,0.01617768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036968577,0,0,0,0.034653465,0,0,0,0,0.017409471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
