,P115-0-5-7-D-AMFungi,GW-P115-7-F-AMFungi,P115-5-15-22-D-AMFungi,P115-22-F-AMFungi,P122-0-5-10-D-AMFungi,P122-10-F-AMFungi,P122-25-D-ITS2-AMFungi,P122-25-F-ITS2-AMFungi,P133-0-5-15-D-AMFungi,P133-15-F-AMFungi,P133-5-15-30-D-AMFungi,P133-30-F-AMFungi,P117-5-15-51-D-ITS2,DW-17-5-15-51-F-ITS2,P138-5-15-60-D-ITS2,DW-38-5-15-60-F-ITS2,P138-0-5-45-D-ITS2,LDW-38-0-5--45-F-ITS2,P141-0-5-95-D-ITS2,LDW-41-0-5-95-F-AMFungi,AM2-UF-0-5-D-AMFungi,AM2-UF-0-5-F-AMFungi,AM2-UF-5-15-D-AMFungi,AM2-UF-5-15-F-AMFungi,AM3-UF-0-5-D-AMFungi,AM3-UF-0-5-F-AMFungi,AM3-UF-5-15-D-AMFungi,AM3-UF-5-15-F-AMFungi,ECM2-UF-5-15-D-AMFungi,ECM2-5-15-F-AMFungi,ECM2-UF-0-5-D-AMFungi,ECM2-UF-0-5-F-AMFungi,MV6-Ref-0-5-D-AMFungi,MV6-Ref-0-5-F-AMFungi,MV6-Ref-5-15-D-AMFungi,MV6-Ref-5-15-F-AMFungi,MV9-Ref-0-5-D-AMFungi,MV9-Ref-0-5-F-AMFungi,MV9-Ref-5-15-D-AMFungi,MV9-Ref-5-15-F-AMFungi,123-0-5-67-D-AMFungi,23-0-5-67-F-AMFungi,P123-5-15-D-ITS2,23-5-15-82-F-AMFungi,P24-0-5-68-D-AMFungi,P24-0-5-68-F-AMFungi,P102-0-5-73-D-AMFungi,102-0-5-73-F-AMFungi,P102-5-15-D-AMFungi,P102-5-15-F-AMFungi,P102-0-5-D-AMFungi,P102-0-5-F-AMFungi,P18-0-5-D-AMFungi,P18-0-5-F-AMFungi,P18-5-15-D-AMFungi,P18-5-15-F-AMFungi,P19-5-15-D-AMFungi,P19-5-15-F-AMFungi,P4-0-5-D-AMFungi,P4-0-5-F-AMFungi,P4-5-15-D-AMFungi,P4-5-15-F-AMFungi,P55-0-5-D-AMFungi,P55-0-5-F-AMFungi,P55-5-15-D-AMFungi,P55-5-15-F-AMFungi,P6-0-5-D-AMFungi,P6-0-5-F-AMFungi,P6-5-15-D-AMFungi,P6-5-15-F-AMFungi
ASV98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01474443,0,0,0.083863636,0,0,0.027592769,0,0,0,0,0,0,0,0,0,0.002796272,0,0,0,0,0,0,0,0
ASV112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024335031,0,0.016891892,0.006736275,0.03640257,0,0.002231313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027295285,0,0.03413968,0,0.136631717,0,0,0,0,0,0,0,0.010035419,0.004940983,0.031167304,0.016371384,0.042846768,0,0,0,0,0,0,0,0,0,0,0,0
ASV122,0,0,0,0,0,0,0,0,0,0.034693878,0,0,0,0,0,0,0,0,0,0,0,0.027027027,0.016503873,0.0248394,0,0.0204537,0,0.00928382,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06038048,0,0.018142801,0,0,0,0,0,0,0,0,0,0.025974026,0.038155366,0.086739194,0,0.013071895,0.009529025,0.037060302,0.002906977,0,0,0.023351296,0.019334049,0.015417331,0,0,0,0
ASV124,0,0,0,0.035353535,0.055151515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.051499717,0,0,0,0.004710921,0,0,0.031434185,0.002818302,0,0,0,0,0.059405941,0,0,0,0,0,0,0,0,0,0,0.004486929,0,0,0,0,0.042348485,0.04900411,0.011892963,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035982814,0.009037746,0,0,0,0
ASV126,0,0,0,0,0,0,0,0,0,0.007142857,0,0,0,0,0,0,0,0,0,0,0,0,0.019872011,0.003426124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002293578,0,0,0,0,0,0,0,0,0.006313478,0,0.002466921,0.005446623,0.011719606,0,0.015443314,0,0.081854608,0.136515268,0.029001074,0.101010101,0,0,0,0
ASV128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027865169,0.030405405,0.007073089,0,0,0,0.015717092,0.012765252,0,0,0,0,0,0,0,0,0,0,0,0,0,0.110835401,0,0.018728053,0,0,0,0,0,0,0,0.049476689,0.005263158,0.012396694,0.002470491,0.019112026,0.011213277,0.030501089,0.02354874,0.038944724,0.020167151,0,0,0,0,0,0,0,0,0
ASV131,0,0.023391813,0,0,0,0.084726225,0,0.015346275,0,0,0,0,0,0,0,0,0,0.027100271,0,0.010752688,0,0,0.008757157,0.006423983,0.009931719,0.003718855,0,0.014920424,0,0,0,0,0,0,0,0,0,0,0,0,0,0.030603805,0,0.01658213,0,0.003604194,0,0.024793388,0,0,0.017839445,0.023152553,0,0,0,0.004116436,0.009643418,0,0,0,0.015988372,0.003728362,0.034344591,0,0.055853921,0.017012228,0,0,0,0.025577558
ASV140,0,0,0,0,0,0,0,0,0,0,0,0.011770032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108103198,0.063115846,0,0,0,0,0,0,0,0
ASV148,0,0,0,0,0,0,0,0.009181532,0,0,0,0.019013128,0,0,0,0,0,0,0,0,0,0,0,0.0124197,0,0.014875418,0,0.029840849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025555989,0,0.007863696,0,0,0,0,0,0,0,0,0.003019489,0.011467216,0,0.005809731,0.005695509,0,0,0,0.014310246,0,0,0.006911217,0,0,0,0.007838284
ASV150,0,0,0,0,0,0,0,0,0.281758958,0.054081633,0.040793201,0,0,0,0,0,0,0,0,0.037351443,0,0,0,0,0,0.01227222,0.016208251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007208388,0,0,0,0,0.031219029,0.009831906,0,0.077922078,0,0.010585122,0.014128728,0.00399419,0,0,0,0,0,0,0,0.018607124,0,0,0,0
